Item Number,Description,Vendor,Category,Buyer,Planner,Item Type,Serialized (Y/N),Price,Unit of Measure,Manufacturers Part Number (MPN),Vendor,Vendor Part Number,Lead Time (Calendar Days),Handling Time (Logistics LT),Safety Stock,Minimum Order Quantity,Quantity per Carton,Cartons per Pallet,Carton Length,Carton Width,Carton Height,Carton Weight,Carton Dimensional Weight,ECCN,HTS,Costing Method,FA Type,Asset Account,GPU (Y/N),GPU Type,CPU Type,GPU Chip Count,GPU Core Count,RAM (Bytes),Local SSD (Y/N),SSD (Bytes),Local Disk (Y/N),Disk (Bytes),Network Interface Card (NIC) Count,Max Power Consumption (Watts)
String,String,String,List,,,List,List,Currency,List,String,List,String,Number,,Number,Number,,,,,,,,,,List,List,List,Boolean,String,String,Number,Number,Number,Boolean,Number,Boolean,Number,Number,Number
Mandatory,,Mandatory,Mandatory,,,,Mandatory,,Mandatory,Mandatory,,,Mandatory,,,,,,,,,,,,,Mandatory,,Mandatory,,,,,,,,,,,,
1.5M-12FSM-OFF-B,OS2 12F MPO F-F Type B 1.5M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$72.20,Eaches,1.5M-12FSM-OFF-B,Proficium,,14,,,,500,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
1.5M-12FSM-PFF-B,OS2 12F MTP F-F Type B 1.5M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$72.20,Eaches,1.5M-12FSM-PFF-B,Proficium,,14,,,,500,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
1M-2FSM-LCLC,OS2 Duplex LC-LC 1M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$4.30,Eaches,1M-2FSM-LCLC,Proficium,,7,,,,500,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
1M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 1M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$55.86,Eaches,1M-12FSM-PFF-B-K8,Proficium,,14,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
1.5M-2FSM-LCLC,OS2 Duplex LC-LC 1.5M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$4.38,Eaches,1.5M-2FSM-LCLC,Proficium,,7,,,,500,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
100M-12FM4-PFF-APC-B-K8,OM4 12F MTP F-F APC Type B 100M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$3,166.45",Eaches,100M-12FM4-PFF-APC-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
110M-12FM4-APC-PFF-B-K8,OM4 12F MTP F-F APC Type B 110M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$3,483.10",Eaches,110M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
115M-12FM4-APC-PFF-B-K8,OM4 12F MTP F-F APC Type B 115M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$3,640.90",Eaches,115M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
180M-12FM4-APC-PFF-B-K8,OM4 12F MTP F-F APC Type B 180M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$5,698.00",Eaches,180M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
200M-12FM4-APC-PFF-B-K8,OM4 12F MTP F-F APC Type B 200M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$6,332.00",Eaches,200M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
230M-12FM4-APC-PFF-B-K8,OM4 12F MTP F-F APC Type B 230M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$7,130.00",Eaches,230M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
240M-12FM4-APC-PFF-B-K8,OM4 12F MTP F-F APC Type B 240M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$7,440.00",Eaches,240M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
250M-12FM4-APC-PFF-B-K8,OM4 12F MTP F-F APC Type B 250M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$7,750.00",Eaches,250M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
120M-12FM4-PFF-APC-B-K8,OM4 12F MTP F-F APC Type B 120M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$3,799.74",Eaches,120M-12FM4-PFF-APC-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
130M-12FM4-PFF-APC-B-K8,OM4 12F MTP F-F APC Type B 130M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$4,115.80",Eaches,130M-12FM4-PFF-APC-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
135M-12FM4-PFF-APC-B-K8,OM4 12F MTP F-F APC Type B 135M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$4,398.00",Eaches,135M-12FM4-PFF-APC-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
15M-12FM4-PFF-APC-B,OM4 12F MTP F-F APC Type B 15M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$26.63,Eaches,15M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10M-12FM4-PFF-APC-B,OM4 12F MTP F-F APC Type B 10M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$19.95,Eaches,10M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
20M-12FM4-PFF-APC-B,OM4 12F MTP F-F APC Type B 20M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$33.31,Eaches,20M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
30M-12FM4-PFF-APC-B,OM4 12F MTP F-F APC Type B 30M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$46.66,Eaches,30M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
70M-12FM4-PFF-APC-B,OM4 12F MTP F-F APC Type B 70M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$111.44,Eaches,70M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
50M-12FM4-PFF-APC-B,OM4 12F MTP F-F APC Type B 50M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$79.96,Eaches,50M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
25M-12FM4-PFF-APC-B,OM4 12F MTP F-F APC Type B 25M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$39.98,Eaches,25M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
100M-12FSM-OFF-B,OS2 12F MPO F-F Type B 100M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$223.22,Eaches,100M-12FSM-OFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
100M-12FSM-PFF-B,OS2 12F MTP F-F Type B 100M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$223.22,Eaches,100M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
110M-12FSM-PFF-B,OS2 12F MTP F-F Type B 110M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$245.54,Eaches,110M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
115M-12FSM-PFF-B,OS2 12F MTP F-F Type B 115M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$256.70,Eaches,115M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
180M-12FSM-PFF-B,OS2 12F MTP F-F Type B 180M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$401.79,Eaches,180M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
200M-12FSM-PFF-B,OS2 12F MTP F-F Type B 200M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$446.00,Eaches,200M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
100M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 100M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$964.53,Eaches,100M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
230M-12FSM-PFF-B,OS2 12F MTP F-F Type B 230M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$512.90,Eaches,230M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
240M-12FSM-PFF-B,OS2 12F MTP F-F Type B 240M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$535.20,Eaches,240M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
100M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 100M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$964.53,Eaches,100M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
110M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 110M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,060.99",Eaches,110M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
115M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 115M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,108.60",Eaches,115M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
135M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 135M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,302.11",Eaches,135M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
140M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 140M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,350.33",Eaches,140M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
145M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 145M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,398.52",Eaches,145M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
180M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 180M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,735.20",Eaches,180M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
200M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 200M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,928.00",Eaches,200M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
230M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 230M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$2,217.20",Eaches,230M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
240M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 240M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$2,313.60",Eaches,240M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
250M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 250M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$2,410.00",Eaches,250M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
270M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 270M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$2,602.80",Eaches,270M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
280M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 280M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$2,699.20",Eaches,280M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
290M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 290M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$2,795.60",Eaches,290M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
100M-2FSM-LCLC,OS2 Duplex LC-LC 100M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$50.23,Eaches,100M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
105M-2FSM-LCLC,OS2 Duplex LC-LC 105M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$52.74,Eaches,105M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
110M-2FSM-LCLC,OS2 Duplex LC-LC 110M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$55.25,Eaches,110M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
200M-2FSM-LCLC,OS2 Duplex LC-LC 200M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$100.46,Eaches,200M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
230M-2FSM-LCLC,OS2 Duplex LC-LC 230M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$115.00,Eaches,230M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
240M-2FSM-LCLC,OS2 Duplex LC-LC 240M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$120.00,Eaches,240M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
250M-2FSM-LCLC,OS2 Duplex LC-LC 250M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$125.00,Eaches,250M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
105M-12FSM-PFF-B-K8,OS2 12F MTP F-F Type B 105M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,001.87",Eaches,105M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10M-12FM3-PFF-APC-B-K8,OM3 12F MTP F-F APC Type B 10M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$448.31,Eaches,10M-12FM3-PFF-APC-B-K8,Proficium,,14,,,,15,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10M-12FM4-OFF-B,OM4 12F MPO F-F Type B 10M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$102.46,Eaches,10M-12FM4-OFF-B,Proficium,,14,,,,150,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10M-12FM4-PFF-APC-B-K8,OM4 12F MTP F-F APC Type B 10M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$418.35,Eaches,OM4 12F MTP F-F APC Type B 10M,Proficium,,14,,,,6,6,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10M-12FSM-OFF-B,OS2 12F MPO F-F Type B 10M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$84.38,Eaches,10M-12FSM-OFF-B,Proficium,,14,,,,150,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10M-12FSM-PFF-B,OS2 12F MTP F-F Type B 10M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$84.38,Eaches,10M-12FSM-PFF-B,Proficium,,14,,,,150,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10M-12FSM-PFF-B-K8,OS2 12F MTP  F-F Type B 10M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$418.35,Eaches,10M-12FSM-PFF-B-K8,Proficium,,14,,,,16,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
3M-12FSM-PFF-B-K8,OS2 12F MTP  F-F Type B 3M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$190.50,Eaches,3M-12FSM-PFF-B-K8,Proficium,,14,,,,16,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
5M-12FSM-PFF-B-K8,OS2 12F MTP  F-F Type B 5M Bundle,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$209.17,Eaches,5M-12FSM-PFF-B-K8,Proficium,,14,,,,16,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
270M-2FSM-LCLC,OS2 Duplex LC-LC 270M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$135.00,Eaches,270M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
280M-2FSM-LCLC,OS2 Duplex LC-LC 280M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$140.00,Eaches,280M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
